City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Shimoda,JP,79.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
21,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Qrendi,MT,80.11,clear sky,35.8347,14.4583,M'Anglu
53,Lorengau,PG,81.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Neyshabur,IR,78.12,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
67,Itarema,BR,78.08,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
78,Kavieng,PG,81.77,light rain,-2.5744,150.7967,Nusa Island Retreat
82,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
95,Kadambur,IN,79.47,broken clouds,8.9833,77.8667,
98,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
107,Liling,CN,78.37,light rain,27.6667,113.5,Shangri-La Hotel
115,Barmer,IN,81.77,light rain,25.75,71.3833,Jain Dharamshala
124,Marsh Harbour,BS,83.61,clear sky,26.5412,-77.0636,Abaco Beach Resort
126,Pakhtakoron,TJ,79.7,clear sky,40.1571,68.7466,
130,Mandapam,IN,82.15,broken clouds,9.2833,79.1167,Tanvi Chachaa Chalet
132,Waddan,LY,79.79,clear sky,29.1614,16.139,محل الشريف محمد العايب
136,Digby,CA,81.55,clear sky,44.6169,-65.7655,Digby Pines Golf Resort and Spa
137,Kinablangan,PH,78.3,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
141,Auki,SB,81.7,overcast clouds,-8.7676,160.7034,Auki Motel
142,Hithadhoo,MV,80.94,overcast clouds,-0.6,73.0833,Scoop Guest House
150,Galle,LK,78.44,overcast clouds,6.0367,80.217,Amangalla
155,Wad Rawah,SD,78.03,light rain,15.1603,33.1397,حوش جلي ودراوة
156,Alugan,PH,81.45,moderate rain,12.2188,125.4808,JM Lodge
159,Banda Aceh,ID,79.99,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
160,Katsuura,JP,78.82,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
162,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
174,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
183,Argos,GR,79.29,clear sky,37.6333,22.7333,Hotel Mycenae
189,Shenjiamen,CN,78.49,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
192,Luganville,VU,81.19,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
194,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
210,Tual,ID,78.6,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
212,Kavaratti,IN,81.05,light rain,10.5669,72.642,Green leaf
216,Sapa,PH,80.69,broken clouds,5.1544,120.3241,
219,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
243,Butaritari,KI,81.28,light rain,3.0707,172.7902,Isles Sunset Lodge
249,Kieta,PG,81.55,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
253,Myanaung,MM,80.65,light rain,18.2833,95.3167,Taung Hlay Khar
256,Giddarbaha,IN,81.79,overcast clouds,30.2,74.6667,panchayti dharamshala gidderbaha
259,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
263,Fukue,JP,80.87,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
