City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Alexandria,EG,77.54,clear sky,31.2156,29.9553,Royal Crown Hotel
14,Shimoda,JP,79.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
20,Luziania,BR,76.69,clear sky,-16.2525,-47.9503,HOTEL SARON
21,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Salalah,OM,77.09,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
44,Qrendi,MT,80.11,clear sky,35.8347,14.4583,M'Anglu
49,Naqadeh,IR,77.92,clear sky,36.9553,45.388,ایبنه شربین اووی
53,Lorengau,PG,81.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Neyshabur,IR,78.12,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
61,Atuona,PF,77.74,clear sky,-9.8,-139.0333,Villa Enata
67,Itarema,BR,78.08,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
73,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
78,Kavieng,PG,81.77,light rain,-2.5744,150.7967,Nusa Island Retreat
82,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
88,Faanui,PF,77.99,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Kadambur,IN,79.47,broken clouds,8.9833,77.8667,
98,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
99,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
106,Madang,PG,77.18,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
107,Liling,CN,78.37,light rain,27.6667,113.5,Shangri-La Hotel
111,Inirida,CO,77.47,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
115,Barmer,IN,81.77,light rain,25.75,71.3833,Jain Dharamshala
119,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Central
124,Marsh Harbour,BS,83.61,clear sky,26.5412,-77.0636,Abaco Beach Resort
126,Pakhtakoron,TJ,79.7,clear sky,40.1571,68.7466,
130,Mandapam,IN,82.15,broken clouds,9.2833,79.1167,Tanvi Chachaa Chalet
132,Waddan,LY,79.79,clear sky,29.1614,16.139,محل الشريف محمد العايب
134,Touros,BR,75.13,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
136,Digby,CA,81.55,clear sky,44.6169,-65.7655,Digby Pines Golf Resort and Spa
137,Kinablangan,PH,78.3,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
141,Auki,SB,81.7,overcast clouds,-8.7676,160.7034,Auki Motel
142,Hithadhoo,MV,80.94,overcast clouds,-0.6,73.0833,Scoop Guest House
143,Bengkulu,ID,75.58,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
145,Along,IN,75.2,overcast clouds,28.1667,94.7667,Hotel West
147,Turkistan,KZ,86.4,clear sky,43.0,68.0,
149,Jamestown,US,89.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
150,Galle,LK,78.44,overcast clouds,6.0367,80.217,Amangalla
155,Wad Rawah,SD,78.03,light rain,15.1603,33.1397,حوش جلي ودراوة
156,Alugan,PH,81.45,moderate rain,12.2188,125.4808,JM Lodge
157,Zhuhai,CN,85.78,few clouds,22.2769,113.5678,珠海粤财假日酒店
159,Banda Aceh,ID,79.99,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
160,Katsuura,JP,78.82,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
162,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
165,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
